x,rho,u,p,rho_exact,u_exact,p_exact
0.0024999999,1,0,1,1,0,1
0.0074999998,1,0,1,1,0,1
0.0125,1,0,1,1,0,1
0.0175,1,0,1,1,0,1
0.022499999,1,0,1,1,0,1
0.027499999,1,0,1,1,0,1
0.032499999,1,0,1,1,0,1
0.037499999,1,0,1,1,0,1
0.042499999,1,0,1,1,0,1
0.047499999,1,0,1,1,0,1
0.052499999,1,0,1,1,0,1
0.057499999,1,0,1,1,0,1
0.062499999,1,0,1,1,0,1
0.067499998,1,0,1,1,0,1
0.072499998,1,0,1,1,0,1
0.077499998,1,0,1,1,0,1
0.082499998,1,0,1,1,0,1
0.087499998,1,0,1,1,0,1
0.092499998,1,0,1,1,0,1
0.097499998,1,0,1,1,0,1
0.1025,1,0,1,1,0,1
0.1075,1,0,1,1,0,1
0.1125,1,0,1,1,0,1
0.1175,1,0,1,1,0,1
0.1225,1,0,1,1,0,1
0.1275,1,0,1,1,0,1
0.1325,1,0,1,1,0,1
0.1375,1,0,1,1,0,1
0.1425,1,0,1,1,0,1
0.1475,1,0,1,1,0,1
0.1525,1,0,1,1,0,1
0.1575,1,0,1,1,0,1
0.1625,1,0,1,1,0,1
0.1675,1,0,1,1,0,1
0.1725,1,0,1,1,0,1
0.1775,1,0,1,1,0,1
0.1825,1,0,1,1,0,1
0.1875,1,0,1,1,0,1
0.1925,1,0,1,1,0,1
0.1975,1,0,1,1,0,1
0.2025,1,0,1,1,0,1
0.2075,1,0,1,1,0,1
0.2125,1,0,1,1,0,1
0.2175,1,0,1,1,0,1
0.2225,1,0,1,1,0,1
0.22749999,0.99999994,7.4633242e-08,0.99999994,1,0,1
0.23249999,0.99999928,8.9092742e-07,0.99999887,1,0,1
0.23749999,0.9999947,6.1980195e-06,0.99999267,1,0,1
0.24249999,0.99996257,4.4231787e-05,0.99994767,1,0,1
0.24749999,0.99974185,0.00030550957,0.99963868,1,0,1
0.25249999,0.99809867,0.0022505147,0.99734014,1,0,1
0.25749999,0.99249536,0.0089030089,0.98951173,1,0,1
0.26249999,0.98323566,0.019960864,0.97661412,1,0,1
0.26749999,0.97136784,0.034256574,0.960154,0.98549477,0.017263272,0.97975177
0.27249999,0.9578442,0.050719533,0.9414947,0.9682145,0.038096605,0.95578501
0.27749999,0.94337493,0.068543561,0.92164588,0.95117749,0.058929938,0.93232255
0.28249999,0.92841363,0.087205574,0.90125012,0.93438115,0.079763271,0.9093555
0.28749999,0.91323298,0.10639018,0.88068855,0.91782294,0.1005966,0.88687512
0.29249999,0.8979885,0.12591417,0.86017746,0.90150031,0.12142994,0.86487278
0.29749999,0.88277173,0.14566971,0.8398419,0.88541073,0.14226327,0.84333999
0.30249999,0.86763752,0.16559079,0.81975472,0.8695517,0.1630966,0.82226835
0.30749999,0.85262007,0.18563437,0.79996103,0.85392075,0.18392994,0.80164962
0.31249999,0.83774257,0.2057716,0.78048891,0.83851538,0.20476327,0.78147564
0.31749999,0.8230207,0.22598198,0.76135617,0.82333317,0.2255966,0.76173841
0.32249999,0.8084653,0.24625005,0.74257368,0.80837166,0.24642993,0.74243
0.32749999,0.79408419,0.26656434,0.72414839,0.79362845,0.26726327,0.72354263
0.33249999,0.77988285,0.28691584,0.70608389,0.77910115,0.2880966,0.70506861
0.33749999,0.76586497,0.30729735,0.68838125,0.76478736,0.30892993,0.68700039
0.34249999,0.75203323,0.32770291,0.67104012,0.75068473,0.32976327,0.6693305
0.34749999,0.73838925,0.3481276,0.65405899,0.73679092,0.3505966,0.65205161
0.35249999,0.72493398,0.36856732,0.6374355,0.72310359,0.37142993,0.63515646
0.35749999,0.71166831,0.38901857,0.62116641,0.70962043,0.39226326,0.61863795
0.36249999,0.69859201,0.40947846,0.60524774,0.69633916,0.4130966,0.60248903
0.36749999,0.68570495,0.42994457,0.58967561,0.68325749,0.43392993,0.5867028
0.37249999,0.67300636,0.4504146,0.57444531,0.67037317,0.45476326,0.57127245
0.37749999,0.66049546,0.47088629,0.55955219,0.65768396,0.4755966,0.55619125
0.38249999,0.64817119,0.49135837,0.5449912,0.64518763,0.49642993,0.54145261
0.38749999,0.63603204,0.51182926,0.53075671,0.63288198,0.51726326,0.52705001
0.39249999,0.62407738,0.53229719,0.51684421,0.62076481,0.53809659,0.51297704
0.39749999,0.61230528,0.55276102,0.50324792,0.60883395,0.55892993,0.4992274
0.40249999,0.6007145,0.57321948,0.48996288,0.59708725,0.57976326,0.48579486
0.40749999,0.58930367,0.59367114,0.47698408,0.58552256,0.60059659,0.47267332
0.41249999,0.57807189,0.61411369,0.46430665,0.57413776,0.62142993,0.45985674
0.41749999,0.56701851,0.63454473,0.45192635,0.56293075,0.64226326,0.4473392
0.42249999,0.55614299,0.65496039,0.43983883,0.55189943,0.66309659,0.43511487
0.42749999,0.5454452,0.67535609,0.42804092,0.54104173,0.68392992,0.42317799
0.43249999,0.53492582,0.69572586,0.41652972,0.53035559,0.70476326,0.4115229
0.43749999,0.5245865,0.71606123,0.40530354,0.51983897,0.72559659,0.40014405
0.44249999,0.51442903,0.73635364,0.39436063,0.50948985,0.74642992,0.38903596
0.44749999,0.5044561,0.7565918,0.38370025,0.49930621,0.76726326,0.37819324
0.45249999,0.49467087,0.77676278,0.37332198,0.48928607,0.78809659,0.36761058
