x,rho,u,p,rho_exact,u_exact,p_exact
0.00062499999,1,0,1,1,0,1
0.001875,1,0,1,1,0,1
0.0031249999,1,0,1,1,0,1
0.0043749999,1,0,1,1,0,1
0.0056249999,1,0,1,1,0,1
0.0068749998,1,0,1,1,0,1
0.0081249998,1,0,1,1,0,1
0.0093749998,1,0,1,1,0,1
0.010625,1,0,1,1,0,1
0.011875,1,0,1,1,0,1
0.013125,1,0,1,1,0,1
0.014375,1,0,1,1,0,1
0.015625,1,0,1,1,0,1
0.016875,1,0,1,1,0,1
0.018125,1,0,1,1,0,1
0.019375,1,0,1,1,0,1
0.020625,1,0,1,1,0,1
0.021875,1,0,1,1,0,1
0.023124999,1,0,1,1,0,1
0.024374999,1,0,1,1,0,1
0.025624999,1,0,1,1,0,1
0.026874999,1,0,1,1,0,1
0.028124999,1,0,1,1,0,1
0.029374999,1,0,1,1,0,1
0.030624999,1,0,1,1,0,1
0.031874999,1,0,1,1,0,1
0.033124999,1,0,1,1,0,1
0.034374999,1,0,1,1,0,1
0.035624999,1,0,1,1,0,1
0.036874999,1,0,1,1,0,1
0.038124999,1,0,1,1,0,1
0.039374999,1,0,1,1,0,1
0.040624999,1,0,1,1,0,1
0.041874999,1,0,1,1,0,1
0.043124999,1,0,1,1,0,1
0.044374999,1,0,1,1,0,1
0.045624999,1,0,1,1,0,1
0.046874999,1,0,1,1,0,1
0.048124999,1,0,1,1,0,1
0.049374999,1,0,1,1,0,1
0.050624999,1,0,1,1,0,1
0.051874999,1,0,1,1,0,1
0.053124999,1,0,1,1,0,1
0.054374999,1,0,1,1,0,1
0.055624999,1,0,1,1,0,1
0.056874999,1,0,1,1,0,1
0.058124999,1,0,1,1,0,1
0.059374999,1,0,1,1,0,1
0.060624999,1,0,1,1,0,1
0.061874999,1,0,1,1,0,1
0.063124999,1,0,1,1,0,1
0.064374999,1,0,1,1,0,1
0.065624999,1,0,1,1,0,1
0.066874999,1,0,1,1,0,1
0.068124998,1,0,1,1,0,1
0.069374998,1,0,1,1,0,1
0.070624998,1,0,1,1,0,1
0.071874998,1,0,1,1,0,1
0.073124998,1,0,1,1,0,1
0.074374998,1,0,1,1,0,1
0.075624998,1,0,1,1,0,1
0.076874998,1,0,1,1,0,1
0.078124998,1,0,1,1,0,1
0.079374998,1,0,1,1,0,1
0.080624998,1,0,1,1,0,1
0.081874998,1,0,1,1,0,1
0.083124998,1,0,1,1,0,1
0.084374998,1,0,1,1,0,1
0.085624998,1,0,1,1,0,1
0.086874998,1,0,1,1,0,1
0.088124998,1,0,1,1,0,1
0.089374998,1,0,1,1,0,1
0.090624998,1,0,1,1,0,1
0.091874998,1,0,1,1,0,1
0.093124998,1,0,1,1,0,1
0.094374998,1,0,1,1,0,1
0.095624998,1,0,1,1,0,1
0.096874998,1,0,1,1,0,1
0.098124998,1,0,1,1,0,1
0.099374998,1,0,1,1,0,1
0.100625,1,0,1,1,0,1
0.101875,1,0,1,1,0,1
0.103125,1,0,1,1,0,1
0.104375,1,0,1,1,0,1
0.105625,1,0,1,1,0,1
0.106875,1,0,1,1,0,1
0.108125,1,0,1,1,0,1
0.109375,1,0,1,1,0,1
0.110625,1,0,1,1,0,1
0.111875,1,0,1,1,0,1
0.113125,1,0,1,1,0,1
0.114375,1,0,1,1,0,1
0.115625,1,0,1,1,0,1
0.116875,1,0,1,1,0,1
0.118125,1,0,1,1,0,1
0.119375,1,0,1,1,0,1
0.120625,1,0,1,1,0,1
0.121875,1,0,1,1,0,1
0.123125,1,0,1,1,0,1
0.124375,1,0,1,1,0,1
0.125625,1,0,1,1,0,1
0.126875,1,0,1,1,0,1
0.128125,1,0,1,1,0,1
0.129375,1,0,1,1,0,1
0.130625,1,0,1,1,0,1
0.131875,1,0,1,1,0,1
0.133125,1,0,1,1,0,1
0.134375,1,0,1,1,0,1
0.135625,1,0,1,1,0,1
0.136875,1,0,1,1,0,1
0.138125,1,0,1,1,0,1
0.139375,1,0,1,1,0,1
0.140625,1,0,1,1,0,1
0.141875,1,0,1,1,0,1
0.143125,1,0,1,1,0,1
0.144375,1,0,1,1,0,1
0.145625,1,0,1,1,0,1
0.146875,1,0,1,1,0,1
0.148125,1,0,1,1,0,1
0.149375,1,0,1,1,0,1
0.150625,1,0,1,1,0,1
0.151875,1,0,1,1,0,1
0.153125,1,0,1,1,0,1
0.154375,1,0,1,1,0,1
0.155625,1,0,1,1,0,1
0.156875,1,0,1,1,0,1
0.158125,1,0,1,1,0,1
0.159375,1,0,1,1,0,1
0.160625,1,0,1,1,0,1
0.161875,1,0,1,1,0,1
0.163125,1,0,1,1,0,1
0.164375,1,0,1,1,0,1
0.165625,1,0,1,1,0,1
0.166875,1,0,1,1,0,1
0.168125,1,0,1,1,0,1
0.169375,1,0,1,1,0,1
0.170625,1,0,1,1,0,1
0.171875,1,0,1,1,0,1
0.173125,1,0,1,1,0,1
0.174375,1,0,1,1,0,1
0.175625,1,0,1,1,0,1
0.176875,1,0,1,1,0,1
0.178125,1,0,1,1,0,1
0.179375,1,0,1,1,0,1
0.180625,1,0,1,1,0,1
0.181875,1,0,1,1,0,1
0.183125,1,0,1,1,0,1
0.184375,1,0,1,1,0,1
0.185625,1,0,1,1,0,1
0.186875,1,0,1,1,0,1
0.188125,1,0,1,1,0,1
0.189375,1,0,1,1,0,1
0.190625,1,0,1,1,0,1
0.191875,1,0,1,1,0,1
0.193125,1,0,1,1,0,1
0.194375,1,0,1,1,0,1
0.195625,1,0,1,1,0,1
0.196875,1,0,1,1,0,1
0.198125,1,0,1,1,0,1
0.199375,1,0,1,1,0,1
0.200625,1,0,1,1,0,1
0.201875,1,0,1,1,0,1
0.203125,1,0,1,1,0,1
0.204375,1,0,1,1,0,1
0.205625,1,0,1,1,0,1
0.206875,1,0,1,1,0,1
0.208125,1,0,1,1,0,1
0.209375,1,0,1,1,0,1
0.210625,1,0,1,1,0,1
0.211875,1,0,1,1,0,1
0.213125,1,0,1,1,0,1
0.214375,1,0,1,1,0,1
0.215625,1,0,1,1,0,1
0.216875,1,0,1,1,0,1
0.218125,1,0,1,1,0,1
0.219375,1,0,1,1,0,1
0.220625,1,0,1,1,0,1
0.221875,1,0,1,1,0,1
0.223125,1,0,1,1,0,1
0.22437499,1,0,1,1,0,1
0.22562499,1,0,1,1,0,1
0.22687499,1,0,1,1,0,1
0.22812499,1,0,1,1,0,1
0.22937499,1,0,1,1,0,1
0.23062499,1,0,1,1,0,1
0.23187499,1,0,1,1,0,1
0.23312499,1,0,1,1,0,1
0.23437499,1,0,1,1,0,1
0.23562499,1,0,1,1,0,1
0.23687499,1,0,1,1,0,1
0.23812499,1,0,1,1,0,1
0.23937499,1,0,1,1,0,1
0.24062499,1,0,1,1,0,1
0.24187499,1,0,1,1,0,1
0.24312499,1,0,1,1,0,1
0.24437499,1,0,1,1,0,1
0.24562499,1,0,1,1,0,1
0.24687499,1,0,1,1,0,1
0.24812499,1,0,1,1,0,1
0.24937499,1,0,1,1,0,1
0.25062499,1,0,1,1,0,1
0.25187499,1,0,1,1,0,1
0.25312499,1,0,1,1,0,1
0.25437499,0.99999976,2.268601e-07,0.99999976,1,0,1
0.25562499,0.99999845,1.8734806e-06,0.99999785,1,0,1
0.25687499,0.99998868,1.3468692e-05,0.9999842,1,0,1
0.25812499,0.99992198,9.2421593e-05,0.99989063,1,0,1
0.25937499,0.9994567,0.00064288668,0.99923956,1,0,1
0.26062499,0.99813336,0.0022100336,0.99738795,1,0,1
0.26187499,0.99604774,0.0046832724,0.99447149,1,0,1
0.26312499,0.99335867,0.0078781927,0.99071515,1,0,1
0.26437499,0.99021995,0.011616264,0.98633534,0.99641962,0.0042424392,0.99499106
0.26562499,0.9867633,0.015744375,0.98151833,0.99203812,0.0094507724,0.98887114
0.26687499,0.98308891,0.020144481,0.97640592,0.98767204,0.014659106,0.98278351
0.26812499,0.97927094,0.024731223,0.97110093,0.98332135,0.019867439,0.97672804
0.26937499,0.97535783,0.029446723,0.96567273,0.978986,0.025075772,0.97070457
0.27062499,0.97138274,0.034252703,0.96016735,0.97466596,0.030284105,0.96471297
0.27187499,0.96736693,0.039123736,0.95461524,0.97036118,0.035492439,0.9587531
0.27312499,0.96332592,0.044042755,0.94903618,0.96607163,0.040700772,0.95282481
0.27437499,0.95926714,0.04899874,0.94344342,0.96179725,0.045909105,0.94692797
0.27562499,0.95519894,0.053983822,0.9378463,0.95753803,0.051117438,0.94106244
0.27687499,0.9511252,0.05899236,0.93225157,0.9532939,0.056325771,0.93522808
0.27812499,0.94704956,0.064020306,0.92666394,0.94906484,0.061534105,0.92942476
0.27937499,0.94297475,0.06906461,0.92108691,0.9448508,0.066742438,0.92365232
0.28062499,0.93890327,0.074122801,0.91552383,0.94065174,0.071950771,0.91791065
0.28187499,0.93483603,0.079192698,0.90997642,0.93646762,0.077159104,0.91219959
0.28312499,0.93077493,0.084272854,0.90444672,0.93229841,0.082367437,0.90651902
0.28437499,0.92672062,0.089362368,0.89893615,0.92814406,0.087575771,0.90086879
0.28562499,0.92267418,0.094460025,0.89344555,0.92400453,0.092784104,0.89524878
0.28687499,0.9186359,0.099564552,0.88797611,0.91987978,0.097992437,0.88965885
0.28812499,0.91460681,0.10467535,0.88252872,0.91576978,0.10320077,0.88409886
0.28937499,0.91058755,0.10979173,0.87710404,0.91167448,0.1084091,0.87856868
0.29062499,0.90657842,0.1149132,0.87170273,0.90759385,0.11361744,0.87306818
0.29187499,0.9025802,0.12003954,0.86632514,0.90352784,0.11882577,0.86759722
0.29312499,0.89859301,0.12516998,0.86097157,0.89947642,0.1240341,0.86215568
0.29437499,0.89461648,0.1303041,0.85564238,0.89543954,0.12924244,0.85674341
0.29562499,0.89065135,0.13544185,0.85033786,0.89141717,0.13445077,0.8513603
0.29687499,0.88669813,0.14058281,0.84505838,0.88740927,0.1396591,0.8460062
0.29812499,0.88275647,0.14572653,0.83980381,0.88341579,0.14486744,0.84068098
0.29937499,0.87882632,0.15087305,0.83457476,0.87943671,0.15007577,0.83538453
0.30062499,0.8749088,0.15602221,0.82937109,0.87547198,0.1552841,0.8301167
0.30187499,0.87100387,0.16117349,0.82419294,0.87152156,0.16049244,0.82487737
0.30312499,0.86711109,0.16632691,0.81904036,0.86758541,0.16570077,0.81966641
0.30437499,0.86323065,0.17148252,0.81391346,0.8636635,0.1709091,0.81448369
