x,rho,rho_exact
0.63375,0.434987,0.434875
0.63625,0.434974,0.434875
0.63875,0.435022,0.434875
0.64125,0.435069,0.434875
0.64375,0.435077,0.434875
0.64625,0.435025,0.434875
0.64875,0.43499,0.434875
0.65125,0.434977,0.434875
0.65375,0.435025,0.434875
0.65625,0.435044,0.434875
0.65875,0.435074,0.434875
0.66125,0.435213,0.434875
0.66375,0.435541,0.434875
0.66625,0.435999,0.434875
0.66875,0.436107,0.434875
0.67125,0.435566,0.434875
0.67375,0.431543,0.434875
0.67625,0.414747,0.434875
0.67875,0.379743,0.434875
0.68125,0.33084,0.434875
0.68375,0.279161,0.243387
0.68625,0.24293,0.243387
0.68875,0.23652,0.243387
0.69125,0.236727,0.243387
0.69375,0.23775,0.243387
0.69625,0.239431,0.243387
0.69875,0.241223,0.243387
0.70125,0.242618,0.243387
0.70375,0.243255,0.243387
0.70625,0.243329,0.243387
0.70875,0.243331,0.243387
0.71125,0.243326,0.243387
0.71375,0.243328,0.243387
0.71625,0.243356,0.243387
0.71875,0.243418,0.243387
0.72125,0.243495,0.243387
0.72375,0.243568,0.243387
0.72625,0.243616,0.243387
0.72875,0.243615,0.243387
0.73125,0.2436,0.243387
0.73375,0.243557,0.243387
0.73625,0.243508,0.243387
0.73875,0.243462,0.243387
0.74125,0.243416,0.243387
0.74375,0.243414,0.243387
0.74625,0.243405,0.243387
0.74875,0.243391,0.243387
0.75125,0.243374,0.243387
0.75375,0.24335,0.243387
0.75625,0.243337,0.243387
0.75875,0.243343,0.243387
0.76125,0.243358,0.243387
0.76375,0.243386,0.243387
0.76625,0.24341,0.243387
0.76875,0.243424,0.243387
0.77125,0.243435,0.243387
0.77375,0.243422,0.243387
0.77625,0.243411,0.243387
0.77875,0.243417,0.243387
0.78125,0.243423,0.243387
0.78375,0.243451,0.243387
0.78625,0.243481,0.243387
0.78875,0.243496,0.243387
0.79125,0.243494,0.243387
0.79375,0.243466,0.243387
0.79625,0.243435,0.243387
0.79875,0.243423,0.243387
0.80125,0.243422,0.243387
0.80375,0.243448,0.243387
0.80625,0.243475,0.243387
0.80875,0.243486,0.243387
0.81125,0.243479,0.243387
0.81375,0.24345,0.243387
0.81625,0.243426,0.243387
0.81875,0.243421,0.243387
0.82125,0.243423,0.243387
0.82375,0.243449,0.243387
0.82625,0.243476,0.243387
0.82875,0.243482,0.243387
0.83125,0.243479,0.243387
0.83375,0.243456,0.243387
0.83625,0.243433,0.243387
0.83875,0.243425,0.243387
0.84125,0.243429,0.243387
0.84375,0.243458,0.243387
0.84625,0.243492,0.243387
0.84875,0.243508,0.243387
0.85125,0.243507,0.243387
0.85375,0.243479,0.243387
0.85625,0.243445,0.243387
0.85875,0.243434,0.243387
0.86125,0.243414,0.243387
0.86375,0.243509,0.243387
0.86625,0.243496,0.243387
0.86875,0.24309,0.243387
0.87125,0.237255,0.243387
0.87375,0.193587,0.125
0.87625,0.136372,0.125
0.87875,0.125183,0.125
0.88125,0.125002,0.125
0.88375,0.125,0.125
0.88625,0.125,0.125
0.88875,0.125,0.125
0.89125,0.125,0.125
0.89375,0.125,0.125
0.89625,0.125,0.125
0.89875,0.125,0.125
0.90125,0.125,0.125
0.90375,0.125,0.125
0.90625,0.125,0.125
0.90875,0.125,0.125
0.91125,0.125,0.125
0.91375,0.125,0.125
0.91625,0.125,0.125
0.91875,0.125,0.125
0.92125,0.125,0.125
0.92375,0.125,0.125
0.92625,0.125,0.125
0.92875,0.125,0.125
0.93125,0.125,0.125
0.93375,0.125,0.125
0.93625,0.125,0.125
0.93875,0.125,0.125
0.94125,0.125,0.125
0.94375,0.125,0.125
0.94625,0.125,0.125
0.94875,0.125,0.125
0.95125,0.125,0.125
0.95375,0.125,0.125
0.95625,0.125,0.125
0.95875,0.125,0.125
0.96125,0.125,0.125
0.96375,0.125,0.125
0.96625,0.125,0.125
0.96875,0.125,0.125
0.97125,0.125,0.125
0.97375,0.125,0.125
0.97625,0.125,0.125
0.97875,0.125,0.125
0.98125,0.125,0.125
0.98375,0.125,0.125
0.98625,0.125,0.125
0.98875,0.125,0.125
0.99125,0.125,0.125
0.99375,0.125,0.125
0.99625,0.125,0.125
0.99875,0.125,0.125
