x,rho,rho_exact
0.62875,0.426326,0.426319
0.63125,0.426345,0.426319
0.63375,0.426292,0.426319
0.63625,0.426221,0.426319
0.63875,0.426219,0.426319
0.64125,0.426277,0.426319
0.64375,0.426294,0.426319
0.64625,0.426203,0.426319
0.64875,0.426072,0.426319
0.65125,0.426038,0.426319
0.65375,0.426141,0.426319
0.65625,0.426254,0.426319
0.65875,0.426205,0.426319
0.66125,0.425961,0.426319
0.66375,0.425662,0.426319
0.66625,0.425444,0.426319
0.66875,0.42524,0.426319
0.67125,0.424757,0.426319
0.67375,0.423476,0.426319
0.67625,0.420336,0.426319
0.67875,0.412902,0.426319
0.68125,0.395205,0.426319
0.68375,0.363291,0.426319
0.68625,0.325548,0.265574
0.68875,0.293206,0.265574
0.69125,0.274649,0.265574
0.69375,0.26755,0.265574
0.69625,0.265086,0.265574
0.69875,0.26454,0.265574
0.70125,0.264825,0.265574
0.70375,0.265435,0.265574
0.70625,0.266003,0.265574
0.70875,0.266282,0.265574
0.71125,0.266245,0.265574
0.71375,0.266045,0.265574
0.71625,0.26584,0.265574
0.71875,0.26571,0.265574
0.72125,0.265645,0.265574
0.72375,0.265592,0.265574
0.72625,0.265519,0.265574
0.72875,0.26543,0.265574
0.73125,0.265359,0.265574
0.73375,0.265337,0.265574
0.73625,0.265375,0.265574
0.73875,0.26546,0.265574
0.74125,0.265563,0.265574
0.74375,0.265651,0.265574
0.74625,0.265707,0.265574
0.74875,0.265724,0.265574
0.75125,0.265704,0.265574
0.75375,0.26566,0.265574
0.75625,0.265605,0.265574
0.75875,0.265554,0.265574
0.76125,0.265519,0.265574
0.76375,0.265505,0.265574
0.76625,0.265511,0.265574
0.76875,0.265527,0.265574
0.77125,0.265544,0.265574
0.77375,0.265557,0.265574
0.77625,0.265567,0.265574
0.77875,0.265579,0.265574
0.78125,0.265594,0.265574
0.78375,0.26561,0.265574
0.78625,0.265618,0.265574
0.78875,0.265612,0.265574
0.79125,0.265594,0.265574
0.79375,0.265572,0.265574
0.79625,0.265558,0.265574
0.79875,0.265555,0.265574
0.80125,0.265559,0.265574
0.80375,0.265561,0.265574
0.80625,0.265557,0.265574
0.80875,0.265551,0.265574
0.81125,0.265552,0.265574
0.81375,0.265566,0.265574
0.81625,0.265588,0.265574
0.81875,0.265606,0.265574
0.82125,0.26561,0.265574
0.82375,0.26559,0.265574
0.82625,0.265557,0.265574
0.82875,0.265548,0.265574
0.83125,0.265569,0.265574
0.83375,0.265573,0.265574
0.83625,0.265575,0.265574
0.83875,0.265623,0.265574
0.84125,0.2656,0.265574
0.84375,0.265074,0.265574
0.84625,0.26228,0.265574
0.84875,0.247005,0.265574
0.85125,0.185605,0.125
0.85375,0.134496,0.125
0.85625,0.125898,0.125
0.85875,0.125059,0.125
0.86125,0.124996,0.125
0.86375,0.125,0.125
0.86625,0.125001,0.125
0.86875,0.125,0.125
0.87125,0.125,0.125
0.87375,0.125,0.125
0.87625,0.125,0.125
0.87875,0.125,0.125
0.88125,0.125,0.125
0.88375,0.125,0.125
0.88625,0.125,0.125
0.88875,0.125,0.125
0.89125,0.125,0.125
0.89375,0.125,0.125
0.89625,0.125,0.125
0.89875,0.125,0.125
0.90125,0.125,0.125
0.90375,0.125,0.125
