x,rho,rho_exact
0.00125,1,1
0.00375,1,1
0.00625,1,1
0.00875,1,1
0.01125,1,1
0.01375,1,1
0.01625,1,1
0.01875,1,1
0.02125,1,1
0.02375,1,1
0.02625,1,1
0.02875,1,1
0.03125,1,1
0.03375,1,1
0.03625,1,1
0.03875,0.999998,1
0.04125,0.999974,1
0.04375,0.999702,1
0.04625,0.998314,1
0.04875,0.995859,1
0.05125,0.992714,0.999538
0.05375,0.989131,0.994909
0.05625,0.985277,0.990296
0.05875,0.981257,0.985701
0.06125,0.977134,0.981122
0.06375,0.972945,0.976561
0.06625,0.968717,0.972017
0.06875,0.964462,0.96749
0.07125,0.960192,0.962979
0.07375,0.955912,0.958486
0.07625,0.951628,0.954009
0.07875,0.947342,0.949549
0.08125,0.943059,0.945105
0.08375,0.938779,0.940679
0.08625,0.934505,0.936268
0.08875,0.930238,0.931875
0.09125,0.925978,0.927498
0.09375,0.921727,0.923137
0.09625,0.917486,0.918793
0.09875,0.913255,0.914465
0.10125,0.909035,0.910154
0.10375,0.904826,0.905859
0.10625,0.900629,0.90158
0.10875,0.896443,0.897317
0.11125,0.892269,0.89307
0.11375,0.888109,0.88884
0.11625,0.883961,0.884625
0.11875,0.879826,0.880427
0.12125,0.875704,0.876244
0.12375,0.871595,0.872077
0.12625,0.867499,0.867927
0.12875,0.863417,0.863792
0.13125,0.859349,0.859673
0.13375,0.855294,0.855569
0.13625,0.851253,0.851481
0.13875,0.847226,0.847409
0.14125,0.843213,0.843353
0.14375,0.839213,0.839312
0.14625,0.835228,0.835286
0.14875,0.831257,0.831276
0.15125,0.8273,0.827282
0.15375,0.823357,0.823302
0.15625,0.819428,0.819338
0.15875,0.815513,0.81539
0.16125,0.811613,0.811456
0.16375,0.807727,0.807538
0.16625,0.803855,0.803635
0.16875,0.799997,0.799747
0.17125,0.796153,0.795874
0.17375,0.792324,0.792017
0.17625,0.788509,0.788174
0.17875,0.784709,0.784346
0.18125,0.780922,0.780533
0.18375,0.777151,0.776734
0.18625,0.773393,0.772951
0.18875,0.76965,0.769182
0.19125,0.765921,0.765428
0.19375,0.762206,0.761689
0.19625,0.758506,0.757965
0.19875,0.754821,0.754254
0.20125,0.75115,0.750559
0.20375,0.747493,0.746878
0.20625,0.74385,0.743211
0.20875,0.740222,0.739559
0.21125,0.736608,0.735921
0.21375,0.733009,0.732298
0.21625,0.729424,0.728689
0.21875,0.725854,0.725094
0.22125,0.722298,0.721513
0.22375,0.718756,0.717947
0.22625,0.715229,0.714394
0.22875,0.711716,0.710856
0.23125,0.708218,0.707332
0.23375,0.704734,0.703821
0.23625,0.701265,0.700325
0.23875,0.69781,0.696842
0.24125,0.694369,0.693374
0.24375,0.690943,0.689919
0.24625,0.68753,0.686478
0.24875,0.684133,0.683051
0.25125,0.680749,0.679637
0.25375,0.67738,0.676237
0.25625,0.674025,0.672851
0.25875,0.670684,0.669478
