x,rho,rho_exact
0.63375,0.426293,0.426319
0.63625,0.426278,0.426319
0.63875,0.426192,0.426319
0.64125,0.426119,0.426319
0.64375,0.426079,0.426319
0.64625,0.426115,0.426319
0.64875,0.426182,0.426319
0.65125,0.4262,0.426319
0.65375,0.426175,0.426319
0.65625,0.426099,0.426319
0.65875,0.426077,0.426319
0.66125,0.426116,0.426319
0.66375,0.426217,0.426319
0.66625,0.426273,0.426319
0.66875,0.42621,0.426319
0.67125,0.425794,0.426319
0.67375,0.424168,0.426319
0.67625,0.418707,0.426319
0.67875,0.407239,0.426319
0.68125,0.388648,0.426319
0.68375,0.363163,0.426319
0.68625,0.332908,0.265574
0.68875,0.301987,0.265574
0.69125,0.27629,0.265574
0.69375,0.263802,0.265574
0.69625,0.262754,0.265574
0.69875,0.262758,0.265574
0.70125,0.262859,0.265574
0.70375,0.263255,0.265574
0.70625,0.263992,0.265574
0.70875,0.264826,0.265574
0.71125,0.26546,0.265574
0.71375,0.265629,0.265574
0.71625,0.265628,0.265574
0.71875,0.265621,0.265574
0.72125,0.265625,0.265574
0.72375,0.26564,0.265574
0.72625,0.265664,0.265574
0.72875,0.265683,0.265574
0.73125,0.265701,0.265574
0.73375,0.2657,0.265574
0.73625,0.2657,0.265574
0.73875,0.265693,0.265574
0.74125,0.265689,0.265574
0.74375,0.265693,0.265574
0.74625,0.265693,0.265574
0.74875,0.265677,0.265574
0.75125,0.265642,0.265574
0.75375,0.265594,0.265574
0.75625,0.26555,0.265574
0.75875,0.265521,0.265574
0.76125,0.265513,0.265574
0.76375,0.265523,0.265574
0.76625,0.265557,0.265574
0.76875,0.265596,0.265574
0.77125,0.265619,0.265574
0.77375,0.265621,0.265574
0.77625,0.265591,0.265574
0.77875,0.265553,0.265574
0.78125,0.265534,0.265574
0.78375,0.265522,0.265574
0.78625,0.265536,0.265574
0.78875,0.265568,0.265574
0.79125,0.265604,0.265574
0.79375,0.265626,0.265574
0.79625,0.265622,0.265574
0.79875,0.265586,0.265574
0.80125,0.265554,0.265574
0.80375,0.265536,0.265574
0.80625,0.265537,0.265574
0.80875,0.265547,0.265574
0.81125,0.26558,0.265574
0.81375,0.265613,0.265574
0.81625,0.265621,0.265574
0.81875,0.265597,0.265574
0.82125,0.265553,0.265574
0.82375,0.265534,0.265574
0.82625,0.265522,0.265574
0.82875,0.26553,0.265574
0.83125,0.265565,0.265574
0.83375,0.265602,0.265574
0.83625,0.265657,0.265574
0.83875,0.265638,0.265574
0.84125,0.265584,0.265574
0.84375,0.265511,0.265574
0.84625,0.264538,0.265574
0.84875,0.250387,0.265574
0.85125,0.180586,0.125
0.85375,0.128115,0.125
0.85625,0.125036,0.125
0.85875,0.125,0.125
0.86125,0.125,0.125
0.86375,0.125,0.125
0.86625,0.125,0.125
0.86875,0.125,0.125
0.87125,0.125,0.125
0.87375,0.125,0.125
0.87625,0.125,0.125
0.87875,0.125,0.125
0.88125,0.125,0.125
0.88375,0.125,0.125
0.88625,0.125,0.125
0.88875,0.125,0.125
0.89125,0.125,0.125
0.89375,0.125,0.125
0.89625,0.125,0.125
0.89875,0.125,0.125
0.90125,0.125,0.125
0.90375,0.125,0.125
0.90625,0.125,0.125
0.90875,0.125,0.125
0.91125,0.125,0.125
0.91375,0.125,0.125
0.91625,0.125,0.125
0.91875,0.125,0.125
0.92125,0.125,0.125
0.92375,0.125,0.125
0.92625,0.125,0.125
0.92875,0.125,0.125
0.93125,0.125,0.125
0.93375,0.125,0.125
0.93625,0.125,0.125
0.93875,0.125,0.125
0.94125,0.125,0.125
0.94375,0.125,0.125
0.94625,0.125,0.125
0.94875,0.125,0.125
0.95125,0.125,0.125
0.95375,0.125,0.125
0.95625,0.125,0.125
0.95875,0.125,0.125
0.96125,0.125,0.125
0.96375,0.125,0.125
0.96625,0.125,0.125
0.96875,0.125,0.125
0.97125,0.125,0.125
0.97375,0.125,0.125
0.97625,0.125,0.125
0.97875,0.125,0.125
0.98125,0.125,0.125
0.98375,0.125,0.125
0.98625,0.125,0.125
0.98875,0.125,0.125
0.99125,0.125,0.125
0.99375,0.125,0.125
0.99625,0.125,0.125
0.99875,0.125,0.125
