xi,rho_exact
0.23975,0.265574
0.2415,0.265574
0.24325,0.265574
0.245,0.265574
0.24675,0.265574
0.2485,0.265574
0.25025,0.265574
0.252,0.265574
0.25375,0.265574
0.2555,0.265574
0.25725,0.265574
0.259,0.265574
0.26075,0.265574
0.2625,0.265574
0.26425,0.125
0.266,0.125
0.26775,0.125
0.2695,0.125
0.27125,0.125
0.273,0.125
0.27475,0.125
0.2765,0.125
0.27825,0.125
0.28,0.125
0.28175,0.125
0.2835,0.125
0.28525,0.125
0.287,0.125
0.28875,0.125
0.2905,0.125
0.29225,0.125
0.294,0.125
0.29575,0.125
0.2975,0.125
0.29925,0.125
0.301,0.125
0.30275,0.125
0.3045,0.125
0.30625,0.125
0.308,0.125
0.30975,0.125
0.3115,0.125
0.31325,0.125
0.315,0.125
0.31675,0.125
0.3185,0.125
0.32025,0.125
0.322,0.125
0.32375,0.125
0.3255,0.125
0.32725,0.125
0.329,0.125
0.33075,0.125
0.3325,0.125
0.33425,0.125
0.336,0.125
0.33775,0.125
0.3395,0.125
0.34125,0.125
0.343,0.125
0.34475,0.125
0.3465,0.125
0.34825,0.125
0.35,0.125
