x,rho,u,p,Y
0.6125,1.00029,0.500426,1.00043,1.60052e-11
0.6175,1.00038,0.500312,1.00056,6.69996e-11
0.6225,1.0005,0.500164,1.00072,2.79669e-10
0.6275,1.00062,0.500021,1.00089,1.16447e-09
0.6325,1.00072,0.499901,1.00103,4.83782e-09
0.6375,1.00081,0.499809,1.00115,2.00591e-08
0.6425,1.00088,0.499744,1.00124,8.30244e-08
0.6475,1.00095,0.499702,1.00129,3.43096e-07
0.6525,1.00102,0.499686,1.00132,1.41584e-06
0.6575,1.00113,0.499674,1.00133,5.83543e-06
0.6625,1.00116,0.499667,1.00131,2.40223e-05
0.6675,1.00111,0.499674,1.00124,9.87864e-05
0.6725,1.0006,0.499652,1.00105,0.000405757
0.6775,0.997699,0.499592,1.00073,0.00166275
0.6825,0.985259,0.499472,1.00026,0.00677077
0.6875,0.951671,0.499288,0.999656,0.0272472
0.6925,0.891949,0.499095,0.998912,0.0941696
0.6975,0.806164,0.498865,0.998185,0.228452
0.7025,0.701445,0.498488,0.997653,0.433573
0.7075,0.59434,0.498472,0.9975,0.68749
0.7125,0.514848,0.498299,0.99828,0.921951
0.7175,0.497461,0.499296,1.00057,1
0.7225,0.497587,0.499999,1.00132,1
0.7275,0.498188,0.500002,1.00132,1
0.7325,0.499071,0.500006,1.00132,1
0.7375,0.499904,0.500015,1.00133,1
0.7425,0.500389,0.50002,1.00133,1
0.7475,0.500444,0.500025,1.00133,1
0.7525,0.500444,0.500031,1.00133,1
0.7575,0.500438,0.500037,1.00133,1
0.7625,0.500424,0.500042,1.00133,1
0.7675,0.500409,0.500048,1.00132,1
0.7725,0.500398,0.500055,1.00132,1
0.7775,0.500393,0.500062,1.00131,1
0.7825,0.500389,0.500064,1.0013,1
0.7875,0.500388,0.500059,1.00129,1
0.7925,0.500387,0.500044,1.00128,1
0.7975,0.500386,0.500021,1.00127,1
0.8025,0.500386,0.499989,1.00127,1
0.8075,0.500387,0.499947,1.00127,1
0.8125,0.500388,0.499896,1.00128,1
0.8175,0.500391,0.499837,1.00129,1
0.8225,0.500394,0.499774,1.0013,1
0.8275,0.500398,0.499712,1.00131,1
0.8325,0.500403,0.499656,1.00133,1
0.8375,0.50041,0.49961,1.00135,1
0.8425,0.500418,0.499575,1.00138,1
0.8475,0.500426,0.49955,1.0014,1
0.8525,0.500434,0.499536,1.00143,1
0.8575,0.500442,0.499533,1.00146,1
0.8625,0.500448,0.499542,1.00148,1
0.8675,0.500453,0.499561,1.00149,1
0.8725,0.500457,0.499592,1.00151,1
0.8775,0.500459,0.499634,1.00151,1
0.8825,0.500459,0.499682,1.00151,1
0.8875,0.500457,0.499733,1.00151,1
0.8925,0.500455,0.499779,1.0015,1
0.8975,0.500452,0.499818,1.00149,1
0.9025,0.500448,0.49985,1.00148,1
0.9075,0.500443,0.499877,1.00146,1
0.9125,0.500439,0.4999,1.00144,1
0.9175,0.500435,0.499917,1.00143,1
0.9225,0.500432,0.499929,1.00142,1
0.9275,0.50043,0.499941,1.00141,1
0.9325,0.500426,0.499956,1.0014,1
0.9375,0.500421,0.49997,1.00139,1
0.9425,0.500414,0.499981,1.00138,1
0.9475,0.500404,0.499986,1.00138,1
0.9525,0.500397,0.499991,1.00138,0.999998
0.9575,0.500398,0.499994,1.00138,0.999991
0.9625,0.500414,0.499992,1.0014,0.999962
0.9675,0.500524,0.499967,1.00148,0.999843
0.9725,0.501127,0.49997,1.00173,0.999354
0.9775,0.503904,0.500028,1.00214,0.997342
0.9825,0.514713,0.50014,1.00273,0.988967
0.9875,0.541898,0.500333,1.00342,0.953508
0.9925,0.590807,0.500618,1.00407,0.815659
0.9975,0.664497,0.500962,1.00458,0.525877
