x,v,v_exact
0.736328,0.0999997,0.1
0.740234,0.0999997,0.1
0.744141,0.0999998,0.1
0.748047,0.0999997,0.1
0.751953,0.0999997,0.1
0.755859,0.0999997,0.1
0.759766,0.0999997,0.1
0.763672,0.0999998,0.1
0.767578,0.0999999,0.1
0.771484,0.0999999,0.1
0.775391,0.1,0.1
0.779297,0.1,0.1
0.783203,0.1,0.1
0.787109,0.1,0.1
0.791016,0.1,0.1
0.794922,0.1,0.1
0.798828,0.1,0.1
0.802734,0.1,0.1
0.806641,0.1,0.1
0.810547,0.1,0.1
0.814453,0.1,0.1
0.818359,0.1,0.1
0.822266,0.1,0.1
0.826172,0.1,0.1
0.830078,0.1,0.1
0.833984,0.1,0.1
0.837891,0.1,0.1
0.841797,0.1,0.1
0.845703,0.1,0.1
0.849609,0.1,0.1
0.853516,0.1,0.1
0.857422,0.1,0.1
0.861328,0.1,0.1
0.865234,0.1,0.1
0.869141,0.1,0.1
0.873047,0.1,0.1
0.876953,0.1,0.1
0.880859,0.1,0.1
0.884766,0.1,0.1
0.888672,0.1,0.1
0.892578,0.1,0.1
0.896484,0.1,0.1
0.900391,0.1,0.1
0.904297,0.1,0.1
0.908203,0.1,0.1
0.912109,0.1,0.1
0.916016,0.1,0.1
0.919922,0.1,0.1
0.923828,0.1,0.1
0.927734,0.1,0.1
0.931641,0.1,0.1
0.935547,0.1,0.1
0.939453,0.1,0.1
0.943359,0.1,0.1
0.947266,0.1,0.1
0.951172,0.1,0.1
0.955078,0.1,0.1
0.958984,0.1,0.1
0.962891,0.1,0.1
0.966797,0.1,0.1
0.970703,0.1,0.1
0.974609,0.1,0.1
0.978516,0.1,0.1
0.982422,0.1,0.1
0.986328,0.1,0.1
0.990234,0.1,0.1
0.994141,0.1,0.1
0.998047,0.1,0.1
