x,rho,u,p,rho_exact,u_exact,p_exact
0.00031249999,1,0,1,1,0,1
0.00093749998,1,0,1,1,0,1
0.0015625,1,0,1,1,0,1
0.0021875,1,0,1,1,0,1
0.0028124999,1,0,1,1,0,1
0.0034374999,1,0,1,1,0,1
0.0040624999,1,0,1,1,0,1
0.0046874999,1,0,1,1,0,1
0.0053124999,1,0,1,1,0,1
0.0059374999,1,0,1,1,0,1
0.0065624999,1,0,1,1,0,1
0.0071874998,1,0,1,1,0,1
0.0078124998,1,0,1,1,0,1
0.0084374998,1,0,1,1,0,1
0.0090624998,1,0,1,1,0,1
0.0096874998,1,0,1,1,0,1
0.0103125,1,0,1,1,0,1
0.0109375,1,0,1,1,0,1
0.0115625,1,0,1,1,0,1
0.0121875,1,0,1,1,0,1
0.0128125,1,0,1,1,0,1
0.0134375,1,0,1,1,0,1
0.0140625,1,0,1,1,0,1
0.0146875,1,0,1,1,0,1
0.0153125,1,0,1,1,0,1
0.0159375,1,0,1,1,0,1
0.0165625,1,0,1,1,0,1
0.0171875,1,0,1,1,0,1
0.0178125,1,0,1,1,0,1
0.0184375,1,0,1,1,0,1
0.0190625,1,0,1,1,0,1
0.0196875,1,0,1,1,0,1
0.0203125,1,0,1,1,0,1
0.0209375,1,0,1,1,0,1
0.0215625,1,0,1,1,0,1
0.0221875,1,0,1,1,0,1
0.022812499,1,0,1,1,0,1
0.023437499,1,0,1,1,0,1
0.024062499,1,0,1,1,0,1
0.024687499,1,0,1,1,0,1
0.025312499,1,0,1,1,0,1
0.025937499,1,0,1,1,0,1
0.026562499,1,0,1,1,0,1
0.027187499,1,0,1,1,0,1
0.027812499,1,0,1,1,0,1
0.028437499,1,0,1,1,0,1
0.029062499,1,0,1,1,0,1
0.029687499,1,0,1,1,0,1
0.030312499,1,0,1,1,0,1
0.030937499,1,0,1,1,0,1
0.031562499,1,0,1,1,0,1
0.032187499,1,0,1,1,0,1
0.032812499,1,0,1,1,0,1
0.033437499,1,0,1,1,0,1
0.034062499,1,0,1,1,0,1
0.034687499,1,0,1,1,0,1
0.035312499,1,0,1,1,0,1
0.035937499,1,0,1,1,0,1
0.036562499,1,0,1,1,0,1
0.037187499,1,0,1,1,0,1
0.037812499,1,0,1,1,0,1
0.038437499,1,0,1,1,0,1
0.039062499,1,0,1,1,0,1
0.039687499,1,0,1,1,0,1
0.040312499,1,0,1,1,0,1
0.040937499,1,0,1,1,0,1
0.041562499,1,0,1,1,0,1
0.042187499,1,0,1,1,0,1
0.042812499,1,0,1,1,0,1
0.043437499,1,0,1,1,0,1
0.044062499,1,0,1,1,0,1
0.044687499,1,0,1,1,0,1
0.045312499,1,0,1,1,0,1
0.045937499,1,0,1,1,0,1
0.046562499,1,0,1,1,0,1
0.047187499,1,0,1,1,0,1
0.047812499,1,0,1,1,0,1
0.048437499,1,0,1,1,0,1
0.049062499,1,0,1,1,0,1
0.049687499,1,0,1,1,0,1
0.050312499,1,0,1,1,0,1
0.050937499,1,0,1,1,0,1
0.051562499,1,0,1,1,0,1
0.052187499,1,0,1,1,0,1
0.052812499,1,0,1,1,0,1
0.053437499,1,0,1,1,0,1
0.054062499,1,0,1,1,0,1
0.054687499,1,0,1,1,0,1
0.055312499,1,0,1,1,0,1
0.055937499,1,0,1,1,0,1
0.056562499,1,0,1,1,0,1
0.057187499,1,0,1,1,0,1
0.057812499,1,0,1,1,0,1
0.058437499,1,0,1,1,0,1
0.059062499,1,0,1,1,0,1
0.059687499,1,0,1,1,0,1
0.060312499,1,0,1,1,0,1
0.060937499,1,0,1,1,0,1
0.061562499,1,0,1,1,0,1
0.062187499,1,0,1,1,0,1
