x,rho,rho_exact
0.00125,0.702302,0.700088
0.00375,0.697584,0.696607
0.00625,0.69433,0.693139
0.00875,0.690883,0.689685
0.01125,0.68748,0.686245
0.01375,0.684088,0.682819
0.01625,0.680713,0.679406
0.01875,0.677352,0.676007
0.02125,0.674007,0.672622
0.02375,0.670677,0.66925
0.02625,0.667363,0.665892
0.02875,0.664065,0.662547
0.03125,0.660783,0.659216
0.03375,0.657517,0.655898
0.03625,0.654268,0.652594
0.03875,0.651035,0.649303
0.04125,0.64782,0.646025
0.04375,0.644622,0.64276
0.04625,0.641441,0.639509
0.04875,0.638277,0.63627
0.05125,0.635132,0.633045
0.05375,0.632005,0.629833
0.05625,0.628896,0.626634
0.05875,0.625805,0.623448
0.06125,0.622733,0.620275
0.06375,0.619679,0.617115
0.06625,0.616644,0.613968
0.06875,0.61363,0.610834
0.07125,0.610637,0.607712
0.07375,0.607668,0.604604
0.07625,0.604728,0.601508
0.07875,0.601823,0.598424
0.08125,0.598964,0.595354
0.08375,0.596166,0.592296
0.08625,0.59345,0.58925
0.08875,0.590845,0.586217
0.09125,0.588385,0.583197
0.09375,0.58611,0.580189
0.09625,0.584059,0.577194
0.09875,0.582264,0.575062
0.10125,0.580741,0.575062
0.10375,0.579482,0.575062
0.10625,0.578449,0.575062
0.10875,0.577585,0.575062
0.11125,0.576826,0.575062
0.11375,0.576118,0.575062
0.11625,0.575435,0.575062
0.11875,0.574791,0.575062
0.12125,0.574229,0.575062
0.12375,0.573816,0.575062
0.12625,0.573618,0.575062
0.12875,0.573581,0.575062
0.13125,0.573579,0.575062
0.13375,0.573663,0.575062
0.13625,0.573947,0.575062
0.13875,0.574297,0.575062
0.14125,0.574574,0.575062
0.14375,0.574696,0.575062
0.14625,0.574726,0.575062
0.14875,0.574712,0.575062
0.15125,0.574669,0.575062
0.15375,0.574635,0.575062
0.15625,0.574628,0.575062
0.15875,0.574634,0.575062
0.16125,0.57473,0.575062
0.16375,0.574927,0.575062
0.16625,0.575136,0.575062
0.16875,0.575283,0.575062
0.17125,0.575329,0.575062
0.17375,0.575348,0.575062
0.17625,0.575318,0.575062
0.17875,0.57521,0.575062
0.18125,0.575087,0.575062
0.18375,0.574997,0.575062
0.18625,0.57496,0.575062
0.18875,0.574946,0.575062
0.19125,0.574964,0.575062
0.19375,0.575003,0.575062
0.19625,0.575028,0.575062
0.19875,0.575028,0.575062
0.20125,0.575031,0.575062
0.20375,0.575024,0.575062
0.20625,0.574995,0.575062
0.20875,0.574959,0.575062
0.21125,0.574938,0.575062
0.21375,0.574938,0.575062
0.21625,0.574944,0.575062
0.21875,0.574982,0.575062
0.22125,0.575054,0.575062
0.22375,0.575126,0.575062
0.22625,0.57517,0.575062
0.22875,0.575177,0.575062
0.23125,0.57518,0.575062
0.23375,0.575161,0.575062
0.23625,0.575118,0.575062
0.23875,0.575078,0.575062
0.24125,0.575055,0.575062
0.24375,0.575051,0.575062
0.24625,0.57505,0.575062
0.24875,0.575061,0.575062
0.25125,0.575077,0.575062
0.25375,0.575087,0.575062
0.25625,0.575085,0.575062
0.25875,0.575084,0.575062
0.26125,0.57508,0.575062
0.26375,0.575068,0.575062
0.26625,0.575051,0.575062
0.26875,0.575043,0.575062
0.27125,0.575042,0.575062
0.27375,0.575043,0.575062
0.27625,0.575048,0.575062
0.27875,0.575057,0.575062
0.28125,0.575065,0.575062
0.28375,0.575069,0.575062
