x,rho,u,p,rho_exact,u_exact,p_exact
0.00125,1,0,1,1,0,1
0.0037499999,1,0,1,1,0,1
0.0062499999,1,0,1,1,0,1
0.0087499998,1,0,1,1,0,1
0.01125,1,0,1,1,0,1
0.01375,1,0,1,1,0,1
0.01625,1,0,1,1,0,1
0.01875,1,0,1,1,0,1
0.02125,1,0,1,1,0,1
0.023749999,1,0,1,1,0,1
0.026249999,1,0,1,1,0,1
0.028749999,1,0,1,1,0,1
0.031249999,1,0,1,1,0,1
0.033749999,1,0,1,1,0,1
0.036249999,1,0,1,1,0,1
0.038749999,1,0,1,1,0,1
0.041249999,1,0,1,1,0,1
0.043749999,1,0,1,1,0,1
0.046249999,1,0,1,1,0,1
0.048749999,1,0,1,1,0,1
0.051249999,1,0,1,1,0,1
0.053749999,1,0,1,1,0,1
0.056249999,1,0,1,1,0,1
0.058749999,1,0,1,1,0,1
0.061249999,1,0,1,1,0,1
0.063749999,1,0,1,1,0,1
0.066249999,1,0,1,1,0,1
0.068749998,1,0,1,1,0,1
0.071249998,1,0,1,1,0,1
0.073749998,1,0,1,1,0,1
0.076249998,1,0,1,1,0,1
0.078749998,1,0,1,1,0,1
0.081249998,1,0,1,1,0,1
0.083749998,1,0,1,1,0,1
0.086249998,1,0,1,1,0,1
0.088749998,1,0,1,1,0,1
0.091249998,1,0,1,1,0,1
0.093749998,1,0,1,1,0,1
0.096249998,1,0,1,1,0,1
0.098749998,1,0,1,1,0,1
0.10125,1,0,1,1,0,1
0.10375,1,0,1,1,0,1
0.10625,1,0,1,1,0,1
0.10875,1,0,1,1,0,1
0.11125,1,0,1,1,0,1
0.11375,1,0,1,1,0,1
0.11625,1,0,1,1,0,1
0.11875,1,0,1,1,0,1
0.12125,1,0,1,1,0,1
0.12375,1,0,1,1,0,1
0.12625,1,0,1,1,0,1
0.12875,1,0,1,1,0,1
0.13125,1,0,1,1,0,1
0.13375,1,0,1,1,0,1
0.13625,1,0,1,1,0,1
0.13875,1,0,1,1,0,1
0.14125,1,0,1,1,0,1
0.14375,1,0,1,1,0,1
0.14625,1,0,1,1,0,1
0.14875,1,0,1,1,0,1
0.15125,1,0,1,1,0,1
0.15375,1,0,1,1,0,1
0.15625,1,0,1,1,0,1
0.15875,1,0,1,1,0,1
0.16125,1,0,1,1,0,1
0.16375,1,0,1,1,0,1
0.16625,1,0,1,1,0,1
0.16875,1,0,1,1,0,1
0.17125,1,0,1,1,0,1
0.17375,1,0,1,1,0,1
0.17625,1,0,1,1,0,1
0.17875,1,0,1,1,0,1
0.18125,1,0,1,1,0,1
0.18375,1,0,1,1,0,1
0.18625,1,0,1,1,0,1
0.18875,1,0,1,1,0,1
0.19125,1,0,1,1,0,1
0.19375,1,0,1,1,0,1
0.19625,1,0,1,1,0,1
0.19875,1,0,1,1,0,1
0.20125,1,0,1,1,0,1
0.20375,1,0,1,1,0,1
0.20625,1,0,1,1,0,1
0.20875,1,0,1,1,0,1
0.21125,1,0,1,1,0,1
0.21375,1,0,1,1,0,1
0.21625,1,0,1,1,0,1
0.21875,1,0,1,1,0,1
0.22125,1,0,1,1,0,1
0.22374999,1,0,1,1,0,1
0.22624999,1,0,1,1,0,1
0.22874999,1,0,1,1,0,1
0.23124999,1,0,1,1,0,1
0.23374999,1,0,1,1,0,1
0.23624999,1,0,1,1,0,1
0.23874999,1,0,1,1,0,1
0.24124999,1,0,1,1,0,1
0.24374999,1,2.1707804e-08,1,1,0,1
0.24624999,0.9999997,2.9314953e-07,0.99999958,1,0,1
0.24874999,0.99999797,2.301382e-06,0.99999726,1,0,1
0.25124999,0.99998564,1.7046919e-05,0.99997991,1,0,1
0.25374999,0.99990064,0.00011739392,0.999861,1,0,1
0.25624999,0.99928975,0.00084058591,0.99900591,1,0,1
0.25874999,0.99694932,0.0036135458,0.99573207,1,0,1
0.26124999,0.99284536,0.0084878411,0.98999906,1,0,1
0.26374999,0.98739278,0.014989602,0.98239625,0.99861617,0.0016382726,0.99806318
0.26624999,0.98098308,0.022669718,0.97348005,0.98985315,0.012054939,0.9858233
0.26874999,0.97394496,0.031149311,0.96371663,0.98115176,0.022471605,0.97371231
0.27124999,0.96651518,0.040155061,0.95343995,0.97251166,0.032888272,0.96172908
0.27374999,0.95884979,0.049503952,0.94287121,0.96393254,0.043304938,0.94987247
0.27624999,0.95104903,0.059080224,0.93214983,0.95541408,0.053721605,0.93814138
0.27874999,0.94317389,0.068812162,0.92136168,0.94695594,0.064138271,0.92653469
0.28124999,0.93526191,0.078654863,0.91055948,0.93855781,0.074554938,0.9150513
0.28374999,0.92733794,0.088579848,0.89977735,0.93021938,0.084971604,0.90369012
0.28624999,0.91941768,0.098568186,0.88903725,0.92194031,0.095388271,0.89245007
0.28874999,0.9115122,0.10860629,0.87835401,0.9137203,0.10580494,0.88133005
0.29124999,0.90362978,0.118685,0.86773896,0.90555902,0.1162216,0.87032902
0.29374999,0.89577645,0.12879704,0.85719955,0.89745616,0.12663827,0.85944589
0.29624999,0.88795614,0.13893688,0.84674132,0.88941141,0.13705494,0.84867963
0.29874999,0.88017285,0.1491002,0.83636868,0.88142446,0.1474716,0.83802917
0.30124999,0.87242925,0.15928355,0.82608533,0.87349498,0.15788827,0.82749348
0.30374999,0.8647272,0.16948399,0.81589353,0.86562268,0.16830494,0.81707153
0.30624999,0.85706848,0.17969935,0.80579484,0.85780724,0.1787216,0.80676229
0.30874999,0.84945434,0.18992777,0.79579091,0.85004835,0.18913827,0.79656474
0.31124999,0.84188598,0.20016766,0.78588253,0.84234571,0.19955493,0.78647788
