x,rho,rho_exact
0.00125,1,1
0.00375,1,1
0.00625,1,1
0.00875,1,1
0.01125,1,1
0.01375,1,1
0.01625,1,1
0.01875,1,1
0.02125,1,1
0.02375,1,1
0.02625,1,1
0.02875,1,1
0.03125,1,1
0.03375,1,1
0.03625,1,1
0.03875,1,1
0.04125,1,1
0.04375,1,1
0.04625,1,1
0.04875,1,1
0.05125,1,1
0.05375,1,1
0.05625,1,1
0.05875,1,1
0.06125,1,1
0.06375,1,1
0.06625,1,1
0.06875,1,1
0.07125,0.999997,1
0.07375,0.999977,1
0.07625,0.999823,1
0.07875,0.998592,1
0.08125,0.994039,1
0.08375,0.986246,1
0.08625,0.975958,1
0.08875,0.963849,0.9926
0.09125,0.950487,0.974287
0.09375,0.936308,0.956245
0.09625,0.921627,0.938471
0.09875,0.906662,0.920963
0.10125,0.891557,0.903717
0.10375,0.87641,0.88673
0.10625,0.861285,0.87
0.10875,0.846228,0.853523
0.11125,0.831267,0.837297
0.11375,0.816426,0.821318
0.11625,0.801721,0.805585
0.11875,0.787162,0.790093
0.12125,0.772759,0.774841
0.12375,0.75852,0.759825
0.12625,0.74445,0.745043
0.12875,0.730551,0.730492
0.13125,0.716828,0.716169
0.13375,0.703283,0.702071
0.13625,0.689916,0.688197
0.13875,0.676729,0.674542
0.14125,0.663722,0.661106
0.14375,0.650896,0.647884
0.14625,0.63825,0.634875
0.14875,0.625784,0.622075
0.15125,0.613497,0.609483
0.15375,0.601389,0.597096
0.15625,0.589458,0.58491
0.15875,0.577704,0.572925
0.16125,0.566126,0.561137
0.16375,0.554721,0.549543
0.16625,0.54349,0.538142
0.16875,0.532431,0.526931
0.17125,0.521541,0.515908
0.17375,0.510821,0.50507
0.17625,0.500268,0.494415
0.17875,0.489881,0.48394
0.18125,0.479658,0.473644
0.18375,0.469597,0.463524
0.18625,0.459697,0.453577
0.18875,0.449957,0.443802
0.19125,0.440375,0.434197
0.19375,0.43095,0.424758
0.19625,0.421679,0.415484
0.19875,0.412562,0.406373
0.20125,0.403596,0.397422
0.20375,0.394781,0.38863
0.20625,0.386114,0.379994
0.20875,0.377593,0.371512
0.21125,0.369218,0.363183
0.21375,0.360986,0.355003
0.21625,0.352897,0.346972
0.21875,0.344947,0.339087
0.22125,0.337136,0.331345
0.22375,0.329461,0.323746
0.22625,0.321921,0.316287
0.22875,0.314515,0.308965
0.23125,0.307241,0.30178
0.23375,0.300097,0.29473
0.23625,0.293082,0.287812
0.23875,0.286194,0.281024
0.24125,0.279433,0.274365
0.24375,0.272795,0.267833
0.24625,0.266281,0.261425
0.24875,0.259887,0.255141
0.25125,0.253614,0.248979
0.25375,0.247461,0.242936
0.25625,0.241425,0.237011
0.25875,0.235505,0.231202
0.26125,0.229701,0.225508
0.26375,0.22401,0.219926
0.26625,0.218433,0.214456
0.26875,0.212967,0.209094
0.27125,0.207611,0.203841
0.27375,0.202364,0.198694
